datetime,portfolio_value,cash,positions,return
2015-02-04 14:40:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:41:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:42:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:43:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:44:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:45:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:46:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:47:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:48:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:49:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:50:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:51:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:52:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:53:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:54:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:55:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:56:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:57:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:58:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 14:59:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:00:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:01:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
2015-02-04 15:02:00-05:00,103512.64881522507,-81577.85344086097,"[{'asset': SPY, 'quantity': 907.6623377700344}]",0.0
