time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2012-12-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-12-03 09:30:00-05:00,buy,fill,4.407021662854857,SPY,stock,,0.0,,142.8000030517578,market,1,0.0
2013-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-02-01 09:30:00-05:00,buy,fill,3.991220373053294,SPY,stock,,0.0,,150.64999389648438,market,1,0.0
2013-03-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-03-01 09:30:00-05:00,buy,fill,4.087038044653746,SPY,stock,,0.0,,151.08999633789062,market,1,0.0
2013-04-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-04-01 10:30:00-04:00,buy,fill,3.953295059699149,SPY,stock,,0.0,,156.58999633789062,market,1,0.0
2013-05-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-05-01 10:30:00-04:00,buy,fill,4.071717556383178,SPY,stock,,0.0,,159.3300018310547,market,1,0.0
2013-06-03 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-06-03 10:30:00-04:00,buy,fill,3.385333678770537,SPY,stock,,0.0,,163.8300018310547,market,1,0.0
2013-07-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-07-01 10:30:00-04:00,buy,fill,3.6786409589297717,SPY,stock,,0.0,,161.25999450683594,market,1,0.0
2013-08-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-08-01 10:30:00-04:00,buy,fill,3.155602570750485,SPY,stock,,0.0,,169.99000549316406,market,1,0.0
2013-10-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-10-01 10:30:00-04:00,buy,fill,3.264015778408671,SPY,stock,,0.0,,168.13999938964844,market,1,0.0
2013-11-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-11-01 10:30:00-04:00,buy,fill,3.1072606714718245,SPY,stock,,0.0,,176.02000427246094,market,1,0.0
2013-12-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2013-12-02 09:30:00-05:00,buy,fill,2.854248581655687,SPY,stock,,0.0,,181.08999633789062,market,1,0.0
